система,описание
Голосовой помощник «Алиса»,"отвечает на вопросы голосом, включает музыку, управляет умным домом"
Чат-бот GigaChat,"отвечает на вопросы и пишет тексты, основан на большой языковой модели"
Камеры фотовидеофиксации нарушений ПДД,"распознают номера машин и фиксируют превышение скорости"
Оплата проезда по лицу (Face Pay) в московском метро,"узнаёт пассажира по лицу у турникета и списывает оплату"
Кредитный скоринг в банке,"оценивает, вернёт ли человек кредит, по его анкете и истории"
Рекомендации товаров на маркетплейсе,"подбирает товары, которые могут понравиться покупателю"
Беспилотный автомобиль,"едет по дороге без водителя, распознаёт машины, пешеходов и знаки"
Робот-доставщик,"везёт заказ по тротуару до двери покупателя"
Контроль качества продукции на заводе по видео,"находит брак на конвейере по изображениям с камер"
Анализ медицинских снимков,"подсвечивает врачу подозрительные участки на флюорографии"
Шахматная программа Stockfish,"играет в шахматы сильнее любого человека"
Антиспам-фильтр почты,"отделяет спам и мошеннические письма от обычных"
